textid	text	condition	target
543	John was tall, but I don't know on what occasions.	foo	0
544	Joan ate dinner with someone but I don't know who.	foo	1
545	Joan ate dinner with someone but I don't know who with.	foo	1
546	I know that Meg's attracted to Harry, but they don't know who.	foo	0
547	Since Jill said Joe had invited Sue, we didn't have to ask who.	foo	0
548	I know that Meg's attracted to Harry, but they don't know who.	foo	1
549	She said she had spoken to everybody, but he wasn't sure who.	foo	0
550	Each of the performers came in, but were sitting so far back that we couldn't see who.	foo	0
551	She didn't talk to one student.	foo	1
552	She doesn't meet anyone for dinner, but they can't figure out who.	foo	0
553	Everyone relies on someone. It's unclear who.	foo	1
554	Each student wrote a paper on a Mayan language, but I don't remember which one.	foo	1
555	The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.	foo	1
556	The newspaper has reported that they are about to appoint someone, but I can't remember who they are about to appoint.	foo	1
557	Most columnists claim that a senior White House official has been briefing them, and the newspaper today reveals which one.	foo	1
558	Most columnists claim that a senior White House official has been briefing them, but none will reveal which one.	foo	1
559	Bill wondered how many papers Sandy had read, but he didn't care which ones.	foo	1
560	I never know which papers Sandy has read, but I usually know how many.	foo	1
561	Sandy had read how many papers?!	foo	1
562	Everybody gets on well with a certain relative, but often only his therapist knows which one.	foo	1
563	Which book did each author recommend?	foo	1
564	His or her least known work.	foo	1
565	They were going to meet sometime on Sunday, but the faculty didn't know when.	foo	1
566	John likes some students, but I don't know who.	foo	1
567	I don't know who John likes.	foo	1
568	John likes some students, but I don't know who John likes some students.	foo	0
569	Joan said she talked to the students, but Fred couldn't figure out who.	foo	0
570	He announced he had eaten the asparagus, but we didn't know what.	foo	0
571	She was reading the books under the table, but Fred didn't know what books.	foo	1
572	He announced he would marry the woman he loved most, but none of his relatives could figure out who.	foo	1
573	She talked to John or Mary but I don't know which.	foo	1
574	She talked to John or Mary but I don't know which one.	foo	1
575	She talked to Harry, but I don't know who else.	foo	1
576	I will see them, but I don't know how many of them.	foo	1
577	Everyone who knows either Susan or Laura likes her.	foo	1
578	She said she talked to three students but I don't know how many.	foo	0
579	She said she talked to those students but I don't know how many.	foo	0
580	He shouted again, but I don't know who to.	foo	1
581	She was dancing with somebody, but I don't know who with.	foo	1
582	Several firefighters were injured, but it's not known.	foo	1
583	Meg is attracted to Harry, but they don't know who she is attracted to.	foo	1
584	Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.	foo	1
585	Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one she was trying to work out which students would be able to solve.	foo	0
586	John and someone were dancing together, but I don't know who.	foo	0
587	The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.	foo	1
588	It has been determined that somebody will be appointed; it's just not clear yet who.	foo	0
589	Sally asked if somebody was going to fail math class, but I can't remember who.	foo	0
590	The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.	foo	0
591	Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.	foo	1
592	Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us in which way.	foo	1
593	Clinton is anxious to find out which budget dilemmas Panetta would be willing to tackle in a certain way, but he won't say in which.	foo	1
594	Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't reveal what.	foo	1
595	In which way is Sandy very anxious to see if the students will be able to solve the homework problem?	foo	0
596	In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?	foo	0
597	I know how many assignments I've graded, but I don't know how many Bill has.	foo	1
598	What did you leave before they did?	foo	0
599	What did you leave before they started playing?	foo	0
600	Sandy was trying to work out which students would be able to solve a certain problem.	foo	1
601	The administration has issued a statement that it is willing to meet with one of the student groups.	foo	1
602	Sandy was trying to work out which students would be able to solve a problem.	foo	1
603	The administration has issued a statement that it is willing to meet a student group.	foo	1
604	The administration has issued a statement that it is willing to meet a student group, but I'm not sure which one.	foo	1
605	I think Agnes said that Bill would speak, but I don't remember what about.	foo	1
606	Agnes wondered how John could eat but it's not clear what.	foo	0
607	Tony sent Mo a picture that he painted, but it's not clear with what.	foo	0
608	She's been dancing but we don't know with whom.	foo	1
609	Who did they see someone?	foo	0
610	It was believed by everybody that Mary was a thief.	foo	1
611	That professor is feared by all students.	foo	1
612	Mary was respected by John.	foo	1
613	Ted was bitten by the spider.	foo	1
614	The book was by John written.	foo	0
615	The argument was summed by the coach up.	foo	0
616	The paper was written up by John.	foo	1
617	The paper was written by John up.	foo	0
618	John was spoken to by Mary.	foo	1
619	John was spoken by Mary to.	foo	0
620	The book was seen by Mary.	foo	1
621	John was seen the book.	foo	0
622	The book was written.	foo	1
623	John was spoke by Mary to.	foo	0
624	The table was wiped clean by John.	foo	1
625	The table was wiped by John clean.	foo	0
626	Mary was given by John the book.	foo	0
627	John was believed to be telling the truth by Mary.	foo	1
628	John was believed by Mary to be telling the truth.	foo	1
629	The car was driven by John to Maine.	foo	1
630	It was believed by the students that they would have an exam.	foo	1
631	The magazines were sent to herself by Mary.	foo	0
632	Chocolate eggs were hidden from each other by the children.	foo	0
633	The magazines were sent by Mary to herself.	foo	1
634	Chocolate eggs were hidden from no child by any adult.	foo	1
635	Tabs were kept on each agent by the other.	foo	1
636	Chocolate eggs were hidden from every child by his mother.	foo	1
637	Books were taken from no student and given to Mary.	foo	1
638	Books were taken from no student and given to Mary by any professor.	foo	0
639	Books were taken from each student by the other.	foo	1
640	Books were taken from each student and given to Mary.	foo	1
641	Books were taken from each student and given to Mary by the other.	foo	0
642	Jack hates Sue and is loved by Mary.	foo	1
643	Vera sent a baby alligator to Max and a leather dinosaur to Phyllis.	foo	1
644	Either Sam plays the bassoon or Jekyll the oboe.	foo	1
645	Sam doesn't play bassoon, nor Medusa oboe.	foo	1
646	Bill ate the peaches, but Harry the grapes.	foo	0
647	I no more could have stolen that steak than Jack the diamonds.	foo	1
648	Bill ate more peaches than Harry did grapes.	foo	1
649	Bill ate the peaches and Harry did the grapes.	foo	0
650	Tom will smoke the grass, and Reuben has the hash.	foo	0
651	If the ants were called elephants and elephants ants, I'd be able to squash an elephant.	foo	1
652	Simon quickly dropped the gold, and Jack the diamonds.	foo	1
653	Bob tried to wash himself, and Mary to read the funnies.	foo	1
654	Harry told Sue that Albania is a lovely place for a vacation, and Tom told Sally that Albania is a lovely place for a vacation.	foo	1
655	Harry told Sue that Albania is a lovely place for a vacation, and Tom.	foo	1
656	Max seemed to be trying to begin to love Harriet, and Fred to be trying to begin to love Sue.	foo	1
657	Max seemed to be trying to force Ted to leave the room, and Walt, Ira.	foo	1
658	Max seemed to be trying to force Ted to leave the room, and Walt to stay a little longer.	foo	0
659	Arizona elected Goldwater Senator, and Massachusetts, McCormack.	foo	0
660	Millie will send the President an obscene telegram, and Paul, the Secretary a rude letter.	foo	0
661	Maytag will give a brand-new dryer to the winner of the Mrs.	foo	0
662	Bill didn't eat the peaches, nor Harry.	foo	0
663	Bill ate the peaches, and Harry did, too.	foo	1
664	Bill must quickly eat the peaches, and Harry must slowly.	foo	0
665	Whenever Russia has made a major political blunder, the U.S. has too.	foo	1
666	Bill's story about Sue and Max's about Kathy both amazed me.	foo	1
667	I bought three quarts of wine and two of Clorox.	foo	1
668	Scientists at the South Hanoi Institute of Technology have succeeded in raising one dog with five legs, another with a cow's liver, and a third with no head.	foo	1
669	Bill's story about Sue may be amazing, but Max's is virtually incredible.	foo	1
670	I like Bill's yellow shirt, but not Max's.	foo	1
671	Bill's funny story about Sue and Max's boring one about Kathy both amazed me.	foo	1
672	Bill's wine from France and Ted's from California cannot be compared.	foo	1
673	As a teacher, you have to deal simultaneously with the administration's pressure on you to succeed, and the children's to be a nice guy.	foo	0
674	Neither Von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's on Angel has the right tempo.	foo	1
675	Gould's performance of Bach on the piano doesn't please me anywhere as much as Ross's on the harpsichord.	foo	0
676	Tom's dog with one eye attacked Frank's with three legs.	foo	0
677	Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.	foo	0
678	Neither von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's has the right tempo.	foo	1
679	Tom's dog with one eye attacked Fred's.	foo	1
680	I borrowed Fred's diagram of a snake's eye because Steve's had been stolen.	foo	1
681	Jerry attempted to blow up the Pentagon.	foo	1
682	So fast did he run that nobody could catch him.	foo	1
683	Bill bought a red house, and Max bought one too.	foo	1
684	Who always drinks milk?	foo	1
685	The book which inspired them was very long.	foo	1
686	The book what inspired them was very long.	foo	0
687	I know the person whose mother died.	foo	1
688	The person whose mother's dog we were all fond of.	foo	1
689	I wonder whose mother died.	foo	1
690	I wonder whose mother's dog died.	foo	1
691	I wonder to whom they dedicated the building.	foo	1
692	Give me the phone number of the person whose mother's dog died.	foo	1
693	This is the senator to whose mother's friend's sister's I sent the letter.	foo	1
694	I want goes to the store.	foo	0
695	I wonder what to be a clown on the cover of.	foo	0
696	Bother you that Kim left!	foo	0
697	A student who to talk to us just walked in.	foo	0
698	Whose bagels do you like?	foo	1
699	I wonder in whom to place my trust.	foo	1
700	There were several old rocks songs that she and I were the only two who knew.	foo	1
701	It was to to amuse us that Kim was singing that they wanted.	foo	0
702	What they feared most was to be no one available to help them.	foo	0
703	We tried to amuse them that Kim was singing.	foo	0
704	Mary asked me if, in St. Louis, John could rent a house cheap.	foo	1
705	Mary arranged for, in St. Louis, John to rent a house cheap.	foo	0
706	It would be unwise for there to be no fire exit.	foo	1
707	I believe there to be no way out.	foo	1
708	I wonder in whom them to place their trust.	foo	0
709	I wonder whom us to trust.	foo	0
710	I wonder who for us to trust.	foo	0
711	I wonder who to place my trust in.	foo	1
712	I know the people that voted in the election.	foo	1
713	I threw away a book that Sandy thought we had read.	foo	1
714	I thought that you were sick.	foo	1
715	I dislike the people in who we placed our trust.	foo	0
716	I dislike the company in which we placed our trust.	foo	1
717	I dislike the people in whose house we stayed.	foo	1
718	I dislike the person with whom we were talking.	foo	1
719	Jones, that we were talking to last night, always watches football games alone.	foo	0
720	A letter was received that Jones would be upset by.	foo	1
721	A letter was received Jones would be upset by.	foo	0
722	I saw someone yesterday I hadn't seen for years.	foo	1
723	Something happened I couldn't really talk about.	foo	1
724	The only person that I like whose kids Dana is willing to put up with is Pat.	foo	1
725	The book that I like which everyone else in the class hates was written by John.	foo	1
726	The only person whose kids Dana is willing to put up with was written by John.	foo	0
727	The book that I like - everyone else in the class hates.	foo	0
728	The only person whose kids Dana is willing to put up with is Pat.	foo	1
729	Which book's, author did you meet?	foo	1
730	Which boy's mother did you meet who you liked?	foo	0
731	Which book's, author did you meet who you liked?	foo	0
732	Which boy's mother did you meet?	foo	1
733	All who lost money in the scam are eligible for the program.	foo	1
734	Who for Sandy to talk to is still enrolled in the class?	foo	0
735	Who who you like does Sandy also like?	foo	1
736	Everything you like is on the table.	foo	1
737	The bills passed by the House yesterday that we objected to were vetoed.	foo	1
738	The only people being added to our group who were at Harvard were students.	foo	1
739	We like ourselves.	foo	1
740	Nobody likes us.	foo	1
741	Leslie likes ourselves.	foo	0
742	Ourselves like ourselves.	foo	0
743	She voted for herself.	foo	1
744	We gave us presents.	foo	0
745	We gave ourselves presents.	foo	1
746	We gave presents to ourselves.	foo	1
747	We gave us to the cause.	foo	0
748	We gave ourselves to the cause.	foo	1
749	Leslie told us about us.	foo	0
750	Leslie told ourselves about us.	foo	0
751	We think that Leslie likes us.	foo	1
752	We think that Leslie likes ourselves.	foo	0
753	Our friends like us.	foo	1
754	Those pictures of us offended us.	foo	1
755	We found your letter to ourselves in the trash.	foo	0
756	Vote for you!	foo	0
757	Vote for yourself!	foo	1
758	We appeared to them to vote for themselves.	foo	0
759	We admired the pictures of us in the album.	foo	1
760	We admired the pictures of ourselves in the album.	foo	1
761	Leslie used a pen.	foo	1
762	We put the pigs in a pen.	foo	1
763	We need to pen the pigs to keep them from getting into the corn.	foo	1
764	They should pen the letter quickly.	foo	1
765	The car won't run.	foo	1
766	This dye will run.	foo	1
767	She can run an accelerator.	foo	1
768	These stockings will run.	foo	1
769	We need another run to win.	foo	1
770	Lee saw the student with a telescope.	foo	1
771	I forgot how good beer tastes.	foo	1
772	Visiting relatives can be boring.	foo	1
773	If only Superman would stop flying planes!	foo	1
774	That's a new car dealership.	foo	1
775	I know you like the back of my hand.	foo	1
776	Max is on the phone now.	foo	1
777	I saw her duck.	foo	1
778	I'm creating a committee. Kim â€“ you're in charge.	foo	1
779	Lights go out at ten. There will be no talking afterwards.	foo	1
780	They found the book on the atom.	foo	1
781	Which experts testified against defendants who exposed them?	foo	1
782	List all experts for the defendant who represented himself.	foo	1
783	List associates of each defendant who speaks Spanish.	foo	1
784	They lost themselves' books.	foo	0
785	Some sentences go on and on and on.	foo	1
786	Sentences some go on and on and on and on.	foo	0
787	That surprised me.	foo	1
788	I noticed the.	foo	0
789	They were interested in his.	foo	1
790	This is my favorite.	foo	1
791	A large dog chased a small cat.	foo	1
792	Some people yell at noisy dogs in my neighborhood.	foo	1
793	Some people yell at the dogs in my neighborhood.	foo	1
794	Some people yell at the dogs.	foo	1
795	Some people yell at noisy dogs.	foo	1
796	Some people yell at dogs.	foo	1
797	Some people consider the noisy dogs dangerous.	foo	1
798	Some people consider the dogs in my neighborhood dangerous.	foo	1
799	Some people consider noisy dogs in my neighborhood dangerous.	foo	1
800	Some people consider the dogs dangerous.	foo	1
801	Some people consider noisy dogs dangerous.	foo	1
802	Some people consider dogs in my neighborhood dangerous.	foo	1
803	Some people consider dogs dangerous.	foo	1
804	People with children who use drugs should be locked up.	foo	1
805	This disease gave Leslie a fever in Rome.	foo	1
806	The love of my life and mother of my children would never do such a thing.	foo	1
807	Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.	foo	1
808	It is painting by Klee or drawing by Miro that the museum displays no.	foo	0
809	The defendant denied the accusation.	foo	1
810	The teacher disappeared the problem.	foo	0
811	The teacher handed the student.	foo	0
812	The bird sings.	foo	1
813	The bird sing.	foo	0
814	Birds sings.	foo	0
815	The birds give the worm a tug.	foo	1
816	The bird give the worm a tug.	foo	0
817	The birds gives the worm a tug.	foo	0
818	Terry delighted in my pain.	foo	1
819	Terry delighted.	foo	0
820	Terry delighted my pain.	foo	0
821	Kerry remarked it was late.	foo	1
822	What additional categories and rules would be required to handle these verbs?	foo	1
823	We created a monster.	foo	1
824	I was already aware of fact.	foo	0
825	The defendant deny the allegation.	foo	0
826	The defendants denies the allegation.	foo	0
827	The defendant walks.	foo	1
828	The defendant walk.	foo	0
829	The defendants walks.	foo	0
830	How many feature structures categories can label the first daughter?	foo	1
831	The child put the toy on the table.	foo	1
832	The teacher became angry with the students.	foo	1
833	The teacher became.	foo	0
834	The jury believed the defendant lied.	foo	1
835	The guests dined.	foo	1
836	We relied on Leslie.	foo	1
837	We relied above Leslie.	foo	0
838	We celebrated in the streets.	foo	1
839	We celebrated in the streets in the rain on Tuesday in the morning.	foo	1
840	The children are happy of ice cream.	foo	0
841	The children are fond with the ice cream.	foo	0
842	The children are fond that they have ice cream.	foo	0
843	A magazine appeared on the newsstands.	foo	1
844	A magazine about crime appeared on the newsstands.	foo	1
845	Newsweek appeared on the newsstands.	foo	1
846	Newsweek about crime appeared on the newsstands.	foo	0
847	The report that crime was declining surprised many people.	foo	1
848	The book surprised many people.	foo	1
849	The book that crime was declining surprised many people.	foo	0
850	The storm arrived after the picnic.	foo	1
851	The storm arrived while the picnic.	foo	0
852	The storm arrived while we ate lunch.	foo	1
853	This dogs barked.	foo	0
854	These dogs barked.	foo	1
855	A chair was broken.	foo	1
856	They want them arrested.	foo	1
857	They preferred them arrested.	foo	1
858	We preferred them on our team.	foo	1
859	With my parents as supportive as they are, I'll be in fine shape.	foo	1
860	We walks.	foo	0
861	Few dog barked.	foo	0
862	The dogs barked.	foo	1
863	I walk and Dana runs.	foo	1
864	They like us.	foo	1
865	Us like them.	foo	0
866	Kim likes dogs.	foo	1
867	Dogs like Kim.	foo	1
868	The person responsible confessed.	foo	1
869	The person confessed responsible.	foo	0
870	The cat slept soundly and furry.	foo	0
871	The soundly and furry cat slept.	foo	0
872	Chris walks, Pat eats broccoli, and Sandy plays squash.	foo	1
873	There was some particular dog who saved every family.	foo	1
874	Susan frightens her.	foo	1
875	Susan told her a story.	foo	1
876	Susan told a story to her.	foo	1
877	Susan devoted herself to linguistics.	foo	1
878	Nobody told Susan about herself.	foo	1
879	That picture of Susan offended her.	foo	1
880	He offended Sandy.	foo	1
881	I enjoy yourself.	foo	0
882	They talk to themselves.	foo	1
883	Nobody told Susan.	foo	1
884	Protect yourself!	foo	1
885	Protect you!	foo	0
886	I met the person who left.	foo	1
887	Leslie slept.	foo	1
888	Chris handed Bo.	foo	0
889	Dana walked and Leslie ran.	foo	1
890	Dana walking and Leslie ran.	foo	0
891	Dana walking and Leslie running.	foo	0
892	the putter of books left.	foo	0
893	Kris donated a book to the library.	foo	1
894	The police sprayed the protesters with water.	foo	1
895	The police sprayed water on the protesters.	foo	1
896	The students drove cars.	foo	1
897	These cars drive easily.	foo	1
898	The horse kicked me black and blue.	foo	1
899	They yelled.	foo	1
900	The horse raced past the barn fell.	foo	1
901	The horse that was raced past the barn fell.	foo	1
902	The boat seen down the river sank.	foo	1
903	The evidence assembled by the prosecution convinced the jury.	foo	1
904	Lou forgot the umbrella.	foo	1
905	Lou forgot the umbrella in the closet.	foo	1
906	Lou hoped the umbrella was broken.	foo	1
907	Lou hoped the umbrella in the closet.	foo	0
908	Lou put the umbrella was broken.	foo	0
909	Lou put the umbrella in the closet.	foo	1
910	The artist drew the child with a pencil.	foo	1
911	The dog bit the cat.	foo	1
912	The cat was bitten the mouse.	foo	0
913	The cat was bitten the mouse by the dog.	foo	0
914	Chris was handed Sandy a note by Pat.	foo	0
915	Chris was handed a note.	foo	1
916	Chris was handed Sandy a note.	foo	0
917	TV puts dumb ideas in children's heads.	foo	1
918	Dumb ideas are put in children's heads by TV.	foo	1
919	Dumb ideas are put in children's heads.	foo	1
920	Dumb ideas are put notions in children's heads by TV.	foo	0
921	The patient died.	foo	1
922	The patient was died.	foo	0
923	Chris was handed.	foo	0
924	TV puts dumb ideas.	foo	0
925	He was arrested by the police.	foo	1
926	The cat got bitten.	foo	1
927	The cat were bitten by the dog.	foo	0
928	There is a monster in Loch Ness.	foo	1
929	It is obvious that Pat is lying.	foo	1
930	Pat is the captain of the team.	foo	1
931	Pat is hate Chris.	foo	0
932	There is a unicorn in the garden.	foo	1
933	There was a felon elected to the city council.	foo	1
934	There is a seat available.	foo	1
935	A seat available was in the last row.	foo	0
936	Many people were fond of Pat.	foo	1
937	People are looking through the window.	foo	1
938	A felon was elected to the city council.	foo	1
939	There loved Sandy.	foo	0
940	We talked to them about there.	foo	0
941	It mattered that the Giants had lost.	foo	1
942	That dogs bark annoys people.	foo	1
943	It annoys people that dogs bark.	foo	1
944	That Chris knew the answer occurred to Pat.	foo	1
945	It never occurred to Pat that Chris knew the answer.	foo	1
946	That the Cardinal won the game gave Sandy a thrill.	foo	1
947	It gave Sandy a thrill that the Cardinal won the game.	foo	1
948	That Sandy had lied suggested.	foo	0
949	It loved Sandy.	foo	0
950	Cohen proved the independence of the continuum hypothesis.	foo	1
951	Cohen proved that the continuum hypothesis was independent.	foo	1
952	We forgot our invitations.	foo	1
953	Nobody saw Pat.	foo	1
954	That Fido barks annoys me.	foo	1
955	Fido barks.	foo	1
956	Chris dreads the bucket.	foo	1
957	The candidates bring advantage to the voters.	foo	1
958	Tabs are kept on suspected drug dealers by the FBI.	foo	1
959	Advantage is taken of every opportunity for improvement.	foo	1
960	The bucket was kicked by Pat.	foo	1
961	John is sad.	foo	1
962	John loaded the wagon full with hay.	foo	1
963	John loaded the wagon with hay green.	foo	0
964	I presented John with it dead.	foo	0
965	Of whom are you thinking?	foo	1
966	John became rich.	foo	1
967	I gave John gold apples.	foo	1
968	how silly is Bill considered?	foo	1
969	how mad was Bill made?	foo	1
970	John is sick.	foo	1
971	John left singing.	foo	1
972	John is near Larry.	foo	1
973	John gave Bill the dog dead.	foo	1
974	Bill was struck by John as stupid.	foo	0
975	John was struck as sick.	foo	0
976	John was struck by Bill's idiocy.	foo	1
977	John promised Bill to leave.	foo	1
978	John tried to leave.	foo	1
979	To leave would be a pleasure.	foo	1
980	John was struck by Bill as pompous.	foo	0
981	John was promised by Bill to leave.	foo	0
982	They make good cooks.	foo	1
983	there is nothing to do.	foo	1
984	John has something for Bill to do.	foo	1
985	I am counting on Bill to incriminate himself.	foo	1
986	On whom are you counting to incriminate himself?	foo	1
987	I am counting on Bill to get there on time.	foo	1
988	I would prefer to leave.	foo	1
989	I would hate for John to leave.	foo	1
990	I would prefer for John to leave.	foo	1
991	It was hated for John to leave.	foo	0
992	John decided for Bill to get the prize.	foo	0
993	John decided Bill to get the prize.	foo	0
994	to die is no fun.	foo	1
995	John wants to leave.	foo	1
996	John counted on Bill to get there on time.	foo	1
997	I bought Bill a book to read.	foo	1
998	John told Mary that it would be important to leave early.	foo	1
999	John told Mary that it was important to Fred to leave early.	foo	1
1000	John, told Mary that it would be appropriate to leave together.	foo	1
1001	the election of John president surprised me.	foo	0
1002	John's arriving dead surprised me.	foo	1
1003	the attempt by John to leave surprised me.	foo	1
1004	John left orders to follow Pete.	foo	1
1005	John left us orders to follow Pete.	foo	1
1006	John left orders not to be disturbed.	foo	1
1007	That he is here is clear.	foo	1
1008	It is a problem that he is here.	foo	1
1009	It bothers me that he is here.	foo	1
1010	John regretted it that Bill had a good time.	foo	1
1011	John believes it that Bill is here.	foo	0
1012	John believes it sincerely that Bill is here.	foo	0
1013	John is aware of it that Bill is here.	foo	0
1014	John felt it that Bill was tardy.	foo	0
1015	John believed it that Bill was tardy.	foo	0
1016	It was believed that Bill was tardy.	foo	1
1017	That John is reluctant seems.	foo	0
1018	It is the problem that he is here.	foo	0
1019	That he is here is the problem.	foo	1
1020	The problem we are discussing is George.	foo	1
1021	It is to give up to leave.	foo	0
1022	It would prove our theory to be untenable for carrots to be vegetables.	foo	1
1023	It was believed to be illegal by them to do that.	foo	0
1024	John grudgingly accepted judgments of his incompetence as an auto mechanic.	foo	1
1025	It was to John that I gave the book.	foo	1
1026	I bought it to read.	foo	1
1027	I bought it to give to Pete.	foo	1
1028	I gave it to Pete to take to the fair.	foo	1
1029	I gave Pete the book to impress.	foo	0
1030	I wrote to Bill.	foo	1
1031	I presented it to Bill to read.	foo	1
1032	I presented Bill with it to read.	foo	0
1033	I gave a book to Bill to read.	foo	1
1034	John thinks it would upset himself to die.	foo	1
1035	John made Bill mad at himself.	foo	1
1036	John made Bill master of himself.	foo	1
1037	The correspondence school made Bill a good typist.	foo	1
1038	The correspondence school sent Bill a good typist.	foo	1
1039	John considers Bill silly.	foo	1
1040	John considers Bill to be silly.	foo	1
1041	John bought a dog for himself to play with.	foo	0
1042	John arranged for himself to get the prize.	foo	1
1043	John talked to Bill about himself.	foo	1