text	label
who did you ask whether mary knows why john likes ?	0
who do you think that mary said that john likes ?	1
how do you wonder whether mary solved the problem ?	0
how do you think that mary solved the problem ?	1
how do you wonder whether john said that mary solved the problem ?	0
how do you wonder whether john said mary solved the problem ?	0
which problem do you wonder whether john said that mary solved ?	0
how did you think that mary solved the problem ?	1
mary hired someone .	1
i heard that mary hired someone .	1
i resigned because mary hired someone .	1
mary wondered which picture of himself bill saw ?	1
which picture of himself does mary think that john said that susan likes ?	1
mary thinks that john said that susan likes pictures of himself ?	0
mary thinks that john said that pictures of himself , susan likes ?	1
if you do n't believe me , you will the weatherman ?	1
i rolled up a newspaper , and lynn did a magazine ?	1
kathy likes astronomy , but she does n't meteorology ?	1
the da proved jones guilty and the assistant da will prove smith .	1
mary will believe susan , and you will bob .	1
you might not believe me but you will bob .	1
you will bob believe .	0
how did you solve the problem ?	1
i wonder who could solve the problem in this way .	1
how do you wonder who could solve this problem .	0
no candidate can predict how many people will vote for him .	1
every politician is worried when the press starts attacking him .	1
which politician appointed the journalist who supported him ?	1
the fact that no candidate was elected shows that he was inadequate .	0
john sells books , mary buys records and bill v newspapers .	1
the question of whether john met mary worries the people who support .	1
they have left .	1
have they left ?	1
could they have left ?	1
he has often seen mary .	1
he i often sees mary .	1
he sees often mary .	0
sees he i often mary ?	0
it seems that it is likely that john will win .	1
it seems that john is likely to win .	1
john seems to be likely to win .	1
john seems that it is likely to win .	0
john seems will win .	0
how do you wonder which problem to solve ?	0
how intelligent do you consider john ?	1
how many people do you wonder whether i consider intelligent ?	0
how intelligent do you wonder whether i consider john ?	0
what the hell do you wonder how to say ?	0
he has left .	1
his book is nice .	1
bill saw him .	1
bill works with him .	1
john believes him to be a nice guy .	1
john considers him a nice guy .	1
for him to do that would be a mistake .	1
with him sick , the team is in trouble .	1
a man to be in the garden is unlikely .	0
a man to come is unlikely .	0
john to call would be unlikely .	0
this conclusion to be arrived at is surprising .	0
john believes that he is sick .	1
john believes that him is sick .	0
john tries him to win .	0
john wonders where him to go .	0
who do you think that bill likes ?	1
who do you think that bill believes to be innocent ?	1
who do you think that believes john to be innocent ?	0
who would you prefer for to win the race ?	0
someone stole my car .	1
my car was stolen .	1
the children eat all chocolate .	0
john has often kissed mary .	1
the kids have all eaten the chocolate .	1
in general , he understands what 's going on .	1
it 's probable that in general he understands what 's going on .	1
it 's probable in general that he understands what 's going on .	0
in general that he understands what 's going on is surprising .	0
i explained how to fix the sink .	1
i explained how we should fix the sink .	1
i explained that we should fix the sink .	1
i explained to fix the sink .	0
mickey looked up the reference .	1
mickey looked the reference up .	1
mickey looked up them .	1
mickey teamed up with the women .	1
mickey teamed with the women up .	0
mickey pointed out that gary had left .	1
mickey pointed that gary had left out .	0
mickey slips up all the time .	1
mickey slips all the time up .	0
what does john think mary bought ?	1
john thinks what mary bought .	0
john wonders what mary bought .	1
what does john wonder mary bought ?	0
who is he reading a book that criticizes ?	0
what do you remember where we bought ?	0
who bought what ?	1
who is reading a book that criticizes who ?	1
who remembers where we bought what ?	1
i wonder who what bought ?	0
i wonder what who bought ?	0
there are n't many linguistics students here .	1
i have n't met many linguistics students .	1
what does every student buy ?	1
i need sally to be there .	1
the boat sank to collect the insurance .	0
the boat was sunk to collect the insurance .	1
john wants to win .	1
the bed was unmade .	1
headway was unmade .	0
john was unknown .	1
john was unknown to be the murderer .	0
we knew john to be the murderer .	1
he fed the children .	1
the children were uneducated .	1
the children were undisciplined .	1
i believed these students all to like john .	1
they tried to all like john .	1
i believed these students to all like john .	1
did he try ever to talk to the student ?	0
did you believe him ever to have made an effort to talk to the student ?	1
did he try to ever be attentive to the needs of students ?	1
did you believe him to ever have made an effort to talk to the student ?	1
work out an analysis that is typical of this view of understood subjects .	1
they were believed all to be quite diligent .	1
was he believed ever to fail students ?	1
there is tending to be more and more discussion of these issues .	1
john seemed to be a great linguist .	1
there promises to be a storm tonight .	1
john strived to be successful .	1
john wanted to improve his lot in life .	1
john 1 to win .	1
this book is too dense to be read in one sitting .	1
there is too likely to be a riot to be a serious discussion of the issues .	0
john tried .	1
john remembered .	1
john is refused .	1
john forgot .	1
bill seems to be obnoxious , but i do n't think that sam happens .	0
bill seems to be obnoxious , but i do n't think that sam turns out .	0
bill seems to be obnoxious , but i do n't think that sam tends .	0
they tried all to like john .	0
they seemed all to like john .	1
john believes sally to be polite .	1
i believe john with all my heart to be a fine person .	1
john is wanted to win .	0
john would be liked to win .	0
we would like john to win .	1
john would be hated to win .	0
john would be preferred to be the candidate .	0
we would prefer john to be the candidate .	1
i would like for john to win .	1
i would hate for john to win .	1
i would prefer for john to be the candidate .	1
john destroyed the house .	1
the electrode emitted ions into the medium .	1
ions struck the electrode .	1
the medium contains ions .	1
the house destroyed john .	0
ions left the electrode .	1
the electrode was left by ions .	0
the electrode was struck by ions .	1
the ball lies in the box .	1
the ball rolled from the bush to the tree .	1
the box contains the ball .	1
the tree dropped fruit to the ground .	1
fruit hit the ground from the tree .	1
the stone knocked against the pole into the road .	1
the stone knocked the pole into the road .	1
the box contained the ball .	1
the box gradually contained the ball .	0
the box at once contained the ball .	0
the box contained the ball to the ground .	0
the tree gradually dropped its fruit to the ground .	1
the tree dropped its fruit to the ground .	1
fruit hit the roof .	1
fruit hit the roof from the tree .	1
fruit at once hit the roof from the tree .	1
fruit hit the roof against the ground .	0
fruit at once hit the roof against the ground .	0
fruit dropped from the tree .	1
fruit dropped from the tree from the clouds .	0
fruit fell against the house .	0
fruit fell against the house against the ground .	0
the tree changed into an oak .	1
the tree changed from a maple into an oak .	1
the maple changed into an oak from a cedar .	0
the maple changed into an oak from a cedar .	1
the maple changed into an oak .	1
the oak developed out of a maple .	1
the train reached the station .	1
the branches knocked against the wall .	1
the child became a man .	1
the party lasted till midnight .	1
the dog went crazy .	1
it struck john that it was so .	1
it came to john that it was so .	1
the snake saw into the nest .	1
hard work resulted in high grades .	1
the farm passed to john .	1
john is touching the wall .	1
the wall is being touched by john .	1
a bear occupies the cave .	1
a bear inhabits the cave .	1
water fills the tub .	1
the electric main joins the house circuit in the basement .	1
the house circuit is joined by the electric main in the basement .	1
the fence straddles the sidewalk .	1
the sidewalk is straddled by the fence .	1
the man with a book .	1
gas escaped the tube .	1
the terrorist escaped the prison cell .	1
the prison cell was escaped by the terrorist .	1
the rolling stone avoided the river .	1
the river was avoided by the rolling stone .	1
the agents caught the terrorist .	1
the sponge soaked up the water .	1
the tub filled with water .	1
john received a book .	1
john learned a lesson .	1
the parcel reached john .	1
john received the parcel .	1
the farm finally got to john after much litigation .	1
the farm finally reached john after much litigation .	0
water filled the cup high .	1
water filled the cup .	1
water emptied the cup .	0
the cup filled the water high .	0
the cup filled of water .	0
the cup filled with water .	1
the cup emptied with water .	0
the barge piled high with logs .	1
the road blocked with a stone .	0
the branch dropped bare of its apple .	0
the logs piled the barge high .	0
a stone blocked the road .	1
the bottle drained the liquid free .	0
the branch dropped its apple free .	1
some branches broke off of the tree .	1
the tree broke off some branches .	0
the tree dropped some branches .	1
the tree lost some branches .	1
water bubbled out of the kettle .	1
the kettle bubbled water up .	0
the kettle bubbled water .	1
the cup filled water .	0
the stone knocked the pole into the road .	0
the tub leaked empty of water .	1
the stone knocked against the pole into the road .	0
hail stones broke the window .	1
the force of the wind broke the window .	1
the window broke from hail stones .	0
the window broke from the force of the wind .	1
what the force of the wind did to the window was break it .	1
john hit the stone against the wall .	1
john hit the wall with the stone .	1
john tapped some wine from a barrel .	1
john tapped a barrel of some wine .	1
john laid the book on the table .	1
john included his name in the list .	1
john loaded the bricks onto the truck .	1
john loaded the truck with bricks .	1
john fed rice to the baby .	1
john fed the baby rice .	1
john fed the baby up with rice .	1
john fed the baby rice up .	0
the ball lies completely in the box .	1
the box completely contains the ball .	1
the train got to the station fully .	1
the train reached the station fully .	1
press the stamp against the pad completely .	1
press the pad with the stamp completely .	1
spray the paint onto the wall completely .	1
spray all the paint onto the wall completely .	1
spray the wall with all the paint .	0
spray the whole wall with the paint .	1
what john did to the wall was paint it .	1
what john did to the whole wall was paint it .	1
what john did to the wall was hit it .	1
what the stone did to the wall was hit it .	0
what the stone did to the whole wall was hit it .	0
john took bill to be a fool .	1
john concluded bill to be a fool .	0
give the bottle to the baby full .	1
give the bottle to the baby awake .	0
give the baby the bottle full .	1
give the baby the bottle awake .	0
rub the cloth on the baby torn .	1
rub the cloth on the baby asleep .	0
rub the baby with the cloth torn .	1
rub the baby with the cloth asleep .	0
dry the baby with the cloth asleep .	1
dry the baby with the cloth torn .	0
the cup knocked the stone apart .	0
the stone knocked the cup apart .	1
the cup smashed apart against the stone .	1
the stone smashed the cup apart .	1
the tank filled with petrol out of the pump .	1
the cup emptied of water onto the ground .	1
john included her name in the list .	1
john rolled the ball from the tree to the bush .	1
john tapped the bottle of some water .	1
john gave bill the book .	1
john got the book from bill .	1
john gave bill of the book .	0
we have someone in the living room .	1
john is very fond of mary .	1
mary laughed at john .	1
the ship sank beneath the waves .	1
mary considers john a fool and bill a wimp .	1
john regards professors as strange and politicians as creepy .	1
sue put the books on the table and the records on the chair .	1
harriet gave a mug to john and a scarf to vivien .	1
i expect john to win and harry to lose .	1
you eat the fish raw and the beef cooked .	1
they told sue who to talk to and virginia when to leave .	1
smith loaned , and his widow later donated , a valuable collection of manuscripts to the library .	1
sue moved , and mary also transferred , her business to a different location .	1
i succeeded in convincing , even though john had failed to persuade , mary not to leave .	1
we did n't particularly like , but nevertheless ate , the fish raw .	1
flo desperately wants , though she does n't really expect , the miami dolphins to be in the play-offs .	1
john learned french perfectly .	1
bill recited his lines poorly .	1
mary plays the violin beautifully .	1
john perfectly learned french .	0
bill poorly recited his lines .	0
john learned french immediately .	1
bill recited his lines slowly .	1
mary will play the violin soon .	1
john immediately learned french .	1
bill slowly recited his lines .	1
mary will soon play the violin .	1
john immediately learned french perfectly .	1
john learned french perfectly almost immediately .	1
john learned french perfectly immediately .	1
john perfectly learned french immediately .	0
john learned french immediately perfectly .	0
clearly , john immediately will probably learn french perfectly .	0
immediately , john probably will clearly learn french perfectly .	0
clearly , john perfectly will immediately learn french probably .	0
john perfectly rolled the ball down the hill .	0
john rolled the ball perfectly down the hill .	1
john rolled the ball down the hill perfectly .	1
john perfectly shot the ball .	0
john shot the ball perfectly .	1
john intimately spoke to mary .	0
john spoke intimately to mary .	1
john spoke to mary intimately .	1
john spoke french intimately to mary .	1
john spoke french to mary intimately .	1
mary jumped the horse perfectly over the last fence .	1
mary jumped the horse over the last fence perfectly .	1
john spoke intimately french to mary .	0
john spoke to mary french .	0
mary persuaded to leave john .	0
the lions ate raw the meat .	0
mary persuaded that he should rest bill .	0
we consider the men all fools .	1
we consider the men all totally crazy .	1
i saw the men all .	0
the men were arrested all .	0
the men arrived all .	0
the teacher ordered the two boys both to pay close attention .	1
they returned the books all to their owners .	1
we painted the chairs all red .	1
the trainer fed the steaks all to the lions .	1
bill proud of himself john does n't consider .	0
home was gone by john .	0
mary left the room angry .	1
the room was left angry by mary .	0
the room was left angry .	0
john resembles bill .	1
bill is resembled by john .	0
the package weighed 10 lb .	1
10 lb was weighed by the package .	0
this book cost $ 10 .	1
$ 10 was cost by this book .	0
the book cost john $ 10 .	1
john was cost $ 10 by the book .	0
john is impressed by bill as pompous .	0
the boys were made a good mother .	0
the boys were made a good mother by aunt mary .	0
the kids were failed by max as a father .	0
the kids were failed as a father .	0
the men were struck by the idea as nonsense .	0
the men were promised to leave .	0
he impresses his friends all as pompous .	0
aunt mary made the boys all a good mother .	0
max failed the kids all as a father .	0
frank promised the men all to leave .	0
we proclaimed to the public john to be a hero .	0
we proclaimed john to the public to be a hero .	1
we proclaimed sincerely john to be a hero .	0
we proclaimed john sincerely to be a hero .	1
we proclaimed sincerely to the public john to be a hero .	0
we proclaimed john sincerely to the public to be a hero .	1
they represented to the dean mary as a genuine linguist .	0
they represented mary to the dean as a genuine linguist .	1
they represented seriously mary as a genuine linguist .	0
they represented mary seriously as a genuine linguist .	1
they represented mary seriously to the dean as a genuine linguist .	1
we proved to the authorities smith to be the thief .	0
we proved conclusively smith to be the thief .	0
we proved smith conclusively to be the thief .	1
we proved conclusively to the authorities smith to be the thief .	0
we proved smith conclusively to the authorities to be the thief .	1
the gardener watered the tulips flat .	1
the grocer ground the coffee beans to a fine powder .	1
they painted their house a hideous shade of green .	1
the joggers ran their nikes threadbare .	1
the kids laughed themselves into a frenzy .	1
he coughed his handkerchief completely soggy .	1
they fed the meat to the lions raw .	1
the lions ate at the meat raw .	0
we love them .	1
we love they .	0
we love their .	0
us love their .	0
our love they .	1
our love them .	1
our love their .	1
he belief that mary kissed bill is mistaken .	0
him belief that mary kissed bill is mistaken .	0
his belief that mary kissed bill is mistaken .	1
mary loves him .	1
mary is fond of him .	1
mary is fond him .	0
mary criticized him .	1
mary 's criticism him was cruel .	0
mary 's criticism of him was cruel .	1
that john loves mary is doubtful .	1
john to love mary would be doubtful .	0
for john to love mary would be doubtful .	1
to go abroad would be nice .	1
john 's plan to go abroad is nice .	1
mary believed john to have loved her .	1
mary considered john to have loved her .	1
mary reported john to have loved her .	1
mary considered to have loved her .	0
mary tried to go abroad .	1
mary intended to go abroad .	1
mary managed to go abroad .	1
mary desired to go abroad .	1
mary tried john to go abroad .	0
mary managed john to go abroad .	0
mary desired john to go abroad .	0
mary believed him to have loved her .	1
mary considered him to have loved her .	1
mary believed he to have loved her .	0
mary considered he to have loved her .	0
mary reported he to have loved her .	0
mary believed his to have loved her .	0
mary considered his to have loved her .	0
mary reported his to have loved her .	0
it is certain that john has loved mary .	1
it is likely that john has loved mary .	1
there are strangers in that garden .	1
there is strangers in that garden .	0
there is arriving three men at that station .	0
there are arriving three men at that station .	1
i consider there to be a man in that garden .	1
i consider there a man in that garden .	0
they alleged there to have been many strangers in that garden .	1
they alleged many strangers to have been in that garden .	0
john wagered there to have been a stranger in that haunted house .	1
john wagered a stranger to have been in that haunted house .	0
john tried to kiss mary .	1
john persuaded mary to kiss him .	1
john told mary to kiss him .	1
it is illegal to park here .	1
i remembered him having kissed mary .	1
i reported him having kissed mary .	1
i reported having kissed mary .	1
i enjoy taking a bath .	1
i detest taking a bath .	1
i enjoy him taking a bath .	0
i detest him taking a bath .	0
i saw him kissing mary .	1
i noticed him kissing mary .	1
i noticed kissing mary .	0
there was known to everyone .	0
john 's refusing the offer is shocking .	1
the enemy 's destroying the city was horrific .	1
john 's refusal of the offer was shocking .	1
the enemy 's destruction of the city was horrific .	1
john wanted to leave the room happy and leave the room he did happy .	0
i often send mary home drunk , and she gets there just fine .	1
i raw eat fish drunk .	0
i only eat fish drunk raw .	0
i do n't think fred will , either .	1
josé likes cabbage , and holly does too .	1
josé ate cabbage , and holly has too .	1
josé is eating cabbage , and holly is too .	1
john is leaving but mary 's not .	1
i consider bill intelligent and i consider sally not .	1